Biomarker Name,ID,Exhaustive Synonyms,Type
Insulin-like Growth Factor 2,P01344,IGF-2,Protein
Intact Fibroblast Growth Factor 23,Q9GZV9,"iFGF23, FGF23",Protein
Interleukin 1-Alpha,P01583,"IL-1A, IL-1α",Protein
Factor B Complement Antigen,P00751,"CFB, Factor B",Protein
Ghrelin,Q9UBU3,GHRL,Protein
Glucagon,P01275,GCG,Protein
Human Transforming Growth Factor beta 1,P01137,"TGF-β1, TGFB1",Protein
Inhibin B,P09529 / P12533,"INHBB, INHBA",Protein
Insulin-like Growth Factor-Binding Protein-1,P08833,IGFBP1,Protein
1-Methylhistidine,HMDB0000001,"1-MHis, (S)-2-Amino-3-(1-methyl-1H-imidazol-4-yl)propanoic acid, Pi-methylhistidine",Chemical
"1,3-Diaminopropane",HMDB0000002,"1,3-Propanediamine, Propane-1,3-diamine, Trimethylenediamine",Chemical
2-Hydroxybutyric acid,HMDB0000008,"2-Hydroxybutanoic acid, alpha-Hydroxybutyrate, α-Hydroxybutyric acid",Chemical
2-Methoxyestrone,HMDB0000010,2-MeOE1,Chemical
(R)-3-Hydroxybutyric acid,HMDB0000011,"D-3-Hydroxybutyrate, (R)-beta-Hydroxybutyrate, (R)-BHB",Chemical
Deoxyuridine,HMDB0000012,"dU, 2'-Deoxyuridine, Uridine deoxyribose",Chemical
Cortexolone,HMDB0000015,"11-Deoxycortisol, Cortodoxone, Reichstein's substance S",Chemical
Deoxycorticosterone,HMDB0000016,"21-Hydroxyprogesterone, 11-Deoxycorticosterone, DOC",Chemical
4-Pyridoxic acid,HMDB0000017,4-PA,Chemical
Alpha-ketoisovaleric acid,HMDB0000019,"2-Oxo-3-methylbutanoic acid, α-Ketoisovalerate, 3-Methyl-2-oxobutanoic acid",Chemical
p-Hydroxyphenylacetic acid,HMDB0000020,"4-Hydroxyphenylacetic acid, PHPA",Chemical
3-Methoxytyramine,HMDB0000022,"3-MT, 4-(2-Aminoethyl)-2-methoxyphenol",Chemical
(S)-3-Hydroxyisobutyric acid,HMDB0000023,"(S)-3-HIB, (S)-2-Methyl-3-hydroxy-propanoate",Chemical
3-O-Sulfogalactosylceramide (d18:1/24:0),HMDB0000024,"SM1, Sulfatide (d18:1/24:0)",Chemical
Tetrahydrobiopterin,HMDB0000027,"BH4, THB, Sapropterin",Chemical
Biotin,HMDB0000030,"Vitamin B7, Vitamin H, Coenzyme R",Chemical
Androsterone,HMDB0000031,5α-Androstan-3α-ol-17-one,Chemical
7-Dehydrocholesterol,HMDB0000032,"7-DHC, Provitamin D3, Cholesta-5,7-dien-3β-ol",Chemical
Carnosine,HMDB0000033,"L-Carnosine, N-beta-Alanyl-L-histidine",Chemical
Adenine,HMDB0000034,"6-Aminopurine, Vitamin B4",Chemical
Taurocholic acid,HMDB0000036,"Taurocholate, Chola-24-oic acid N-(2-sulfoethyl)amide",Chemical
Aldosterone,HMDB0000037,"Electrocortin, Aldocorten",Chemical
Dihydrobiopterin,HMDB0000038,"BH2, 7,8-Dihydrobiopterin",Chemical
Butyric acid,HMDB0000039,"Butanoic acid, Butyrate",Chemical
Acetic acid,HMDB0000042,"Ethanoic acid, Acetate",Chemical
Betaine,HMDB0000043,"Trimethylglycine, TMG, Glycine betaine",Chemical
Ascorbic acid,HMDB0000044,"Vitamin C, L-Ascorbate",Chemical
Adenosine,HMDB0000050,Ado,Chemical
Ammonia,HMDB0000051,"NH3, Azane",Chemical
Argininosuccinic acid,HMDB0000052,Argininosuccinate,Chemical
Androstenedione,HMDB0000053,"4-Androstenedione, Andro",Chemical
Bilirubin,HMDB0000054,Hematoidin,Chemical
Beta-Alanine,HMDB0000056,"3-Aminopropanoic acid, β-Alanine",Chemical
Cyclic AMP,HMDB0000058,"cAMP, 3',5'-cyclic AMP, Adenosine 3',5'-cyclic monophosphate",Chemical
Acetoacetic acid,HMDB0000060,"3-Oxobutanoic acid, Acetoacetate",Chemical
L-Carnitine,HMDB0000062,"Levocarnitine, Vitamin Bt",Chemical
Cortisol,HMDB0000063,"Hydrocortisone, 17-Hydroxycorticosterone",Chemical
Creatine,HMDB0000064,"N-Amidinosarcosine, Methylguanidoacetic acid",Chemical
Cholesterol,HMDB0000067,Cholest-5-en-3β-ol,Chemical
Epinephrine,HMDB0000068,"Adrenaline, L-Adrenaline",Chemical
Pipecolic acid,HMDB0000070,"L-Pipecolic acid, L-Pipecolinate, (S)-Piperidine-2-carboxylic acid",Chemical
Deoxyinosine,HMDB0000071,"2'-Deoxyinosine, dI",Chemical
cis-Aconitic acid,HMDB0000072,"cis-Aconitate, Prop-1-ene-1,2,3-tricarboxylate",Chemical
Dopamine,HMDB0000073,"3,4-Dihydroxyphenethylamine",Chemical
Dihydrouracil,HMDB0000076,"5,6-Dihydrouracil",Chemical
Dehydroepiandrosterone,HMDB0000077,"DHEA, Prasterone, Androstenolone",Chemical
Cysteinylglycine,HMDB0000078,Cys-Gly,Chemical
Dihydrothymine,HMDB0000079,"5,6-Dihydrothymine",Chemical
Deoxyguanosine,HMDB0000085,"2'-Deoxyguanosine, dG",Chemical
Glycerophosphocholine,HMDB0000086,"GPC, sn-Glycero-3-phosphocholine",Chemical
Dimethylamine,HMDB0000087,"DMA, N-Methylmethanamine",Chemical
Cytidine,HMDB0000089,Cyd,Chemical
Dimethylglycine,HMDB0000092,"DMG, N,N-Dimethylglycine",Chemical
Citric acid,HMDB0000094,"Citrate, 2-Hydroxypropane-1,2,3-tricarboxylic acid",Chemical
Choline,HMDB0000097,(2-Hydroxyethyl)trimethylammonium,Chemical
D-Xylose,HMDB0000098,Wood sugar,Chemical
L-Cystathionine,HMDB0000099,Cystathionine,Chemical
Deoxyadenosine,HMDB0000101,"2'-Deoxyadenosine, dA",Chemical
Galactitol,HMDB0000107,Dulcitol,Chemical
Ethanol,HMDB0000108,"Ethyl alcohol, Alcohol",Chemical
Gamma-Aminobutyric acid,HMDB0000112,"GABA, 4-Aminobutanoic acid",Chemical
Glycolic acid,HMDB0000115,"Glycolate, 2-Hydroxyacetic acid",Chemical
Homovanillic acid,HMDB0000118,"HVA, 4-Hydroxy-3-methoxyphenylacetic acid",Chemical
Glyoxylic acid,HMDB0000119,"Glyoxylate, Oxoacetic acid",Chemical
Folic acid,HMDB0000121,"Vitamin B9, Folate, Pteroylglutamic acid",Chemical
D-Glucose,HMDB0000122,"Dextrose, Grape sugar, Blood sugar",Chemical
Glycine,HMDB0000123,"Gly, Aminoacetic acid",Chemical
Fructose 6-phosphate,HMDB0000124,F6P,Chemical
Glutathione,HMDB0000125,"GSH, L-Glutathione",Chemical
Glycerol 3-phosphate,HMDB0000126,"G3P, sn-Glycerol 3-phosphate",Chemical
Guanidoacetic acid,FDB005417,"GAA, Glycocyamine",Chemical
Homogentisic acid,HMDB0000130,"Alkapton, 2,5-Dihydroxyphenylacetic acid",Chemical
Glycerol,HMDB0000131,"Glycerin, Propane-1,2,3-triol",Chemical
Guanine,HMDB0000132,"Guan, 2-Amino-6-oxopurine",Chemical
Guanosine,HMDB0000133,Guo,Chemical
Fumaric acid,HMDB0000134,"Fumarate, (E)-Butenedioic acid",Chemical
Glycocholic acid,HMDB0000138,Glycocholate,Chemical
Glyceric acid,HMDB0000139,"Glycerate, 2,3-Dihydroxypropanoic acid",Chemical
Formic acid,HMDB0000142,"Methanoic acid, Formate",Chemical
D-Galactose,HMDB0000143,Gal,Chemical
Estrone,HMDB0000145,E1,Chemical
L-Glutamic acid,HMDB0000148,"Glutamate, Glu, E",Chemical
Ethanolamine,HMDB0000149,"2-Aminoethanol, Colamine",Chemical
Estradiol,HMDB0000151,"E2, 17β-Estradiol",Chemical
Gentisic acid,HMDB0000152,"2,5-Dihydroxybenzoic acid",Chemical
Estriol,HMDB0000153,E3,Chemical
L-Malic acid,HMDB0000156,"L-Malate, (S)-Hydroxybutanedioic acid",Chemical
Hypoxanthine,HMDB0000157,6-Hydroxypurine,Chemical
L-Tyrosine,HMDB0000158,"Tyr, Y, 4-Hydroxyphenylalanine",Chemical
L-Phenylalanine,HMDB0000159,"Phe, F",Chemical
L-Alanine,HMDB0000161,"Ala, A",Chemical
L-Proline,HMDB0000162,"Pro, P",Chemical
Methylamine,HMDB0000164,Methanamine,Chemical
L-Threonine,HMDB0000167,"Thr, T",Chemical
L-Asparagine,HMDB0000168,"Asn, N",Chemical
L-Isoleucine,HMDB0000172,"Ile, I",Chemical
Maleic acid,HMDB0000176,"Maleate, (Z)-Butenedioic acid",Chemical
L-Histidine,HMDB0000177,"His, H",Chemical
L-Dopa,HMDB0000181,"Levodopa, 3,4-Dihydroxy-L-phenylalanine",Chemical
L-Lysine,HMDB0000182,"Lys, K",Chemical
Alpha-Lactose,HMDB0000186,"α-Lactose, Milk sugar",Chemical
L-Serine,HMDB0000187,"Ser, S",Chemical
L-Lactic acid,HMDB0000190,"L-Lactate, (S)-2-Hydroxypropanoic acid",Chemical
L-Aspartic acid,HMDB0000191,"Aspartate, Asp, D",Chemical
L-Cystine,HMDB0000192,Cystine,Chemical
Isocitric acid,HMDB0000193,Isocitrate,Chemical
Anserine,HMDB0000194,N-beta-Alanyl-3-methyl-L-histidine,Chemical
Inosine,HMDB0000195,"Ino, Hypoxanthosine",Chemical
Indoleacetic acid,HMDB0000197,"IAA, Indole-3-acetic acid",Chemical
L-Acetylcarnitine,HMDB0000201,ALCAR,Chemical
Methylmalonic acid,HMDB0000202,MMA,Chemical
Phenylpyruvic acid,HMDB0000205,Phenylpyruvate,Chemical
Oleic acid,HMDB0000207,(9Z)-Octadecenoic acid,Chemical
Oxoglutaric acid,HMDB0000208,"Alpha-ketoglutarate, α-Ketoglutaric acid, 2-Oxoglutarate",Chemical
Phenylacetic acid,HMDB0000209,Phenylacetate,Chemical
Pantothenic acid,HMDB0000210,"Vitamin B5, Pantothenate",Chemical
Myoinositol,HMDB0000211,"myo-Inositol, Inositol",Chemical
Ornithine,HMDB0000214,Orn,Chemical
Norepinephrine,HMDB0000216,"Noradrenaline, Levarterenol",Chemical
Palmitic acid,HMDB0000220,"Hexadecanoic acid, Palmitate",Chemical
Oxaloacetic acid,HMDB0000223,"Oxaloacetate, 2-Oxosuccinic acid",Chemical
O-Phosphoethanolamine,HMDB0000224,"Phosphoethanolamine, Ethanolamine phosphate",Chemical
Oxoadipic acid,HMDB0000225,"Alpha-ketoadipic acid, α-Ketoadipate",Chemical
Orotic acid,HMDB0000226,"Vitamin B13, Orotate",Chemical
Mevalonic acid,HMDB0000227,Mevalonate,Chemical
Phenol,HMDB0000228,"Carbolic acid, Benzenol",Chemical
Nicotinamide ribotide,HMDB0000229,"NMN, Nicotinamide mononucleotide",Chemical
Quinolinic acid,HMDB0000232,"Quinolate, Pyridine-2,3-dicarboxylic acid",Chemical
Testosterone,HMDB0000234,T,Chemical
Thiamine,HMDB0000235,"Vitamin B1, Thiamin",Chemical
Propionic acid,HMDB0000237,"Propanoic acid, Propionate",Chemical
Sepiapterin,HMDB0000238,"(2-Amino-6-lactyl-7,8-dihydropteridin-4-one)",Chemical
Pyridoxine,HMDB0000239,Vitamin B6,Chemical
Pyruvic acid,HMDB0000243,"Pyruvate, 2-Oxopropanoic acid",Chemical
Riboflavin,HMDB0000244,Vitamin B2,Chemical
Porphobilinogen,HMDB0000245,PBG,Chemical
Sorbitol,HMDB0000247,Glucitol,Chemical
Thyroxine,HMDB0000248,"T4, L-Thyroxine",Chemical
Taurine,HMDB0000251,2-Aminoethanesulfonic acid,Chemical
Pregnenolone,HMDB0000253,P5,Chemical
Succinic acid,HMDB0000254,"Succinate, Butanedioic acid",Chemical
Thiosulfate,HMDB0000257,S2O3(2-),Chemical
Serotonin,HMDB0000259,"5-Hydroxytryptamine, 5-HT",Chemical
Thymine,HMDB0000262,5-Methyluracil,Chemical
Liothyronine,HMDB0000265,"T3, Triiodothyronine",Chemical
Pyroglutamic acid,HMDB0000267,"5-Oxoproline, Pidolic acid",Chemical
Sarcosine,HMDB0000271,N-Methylglycine,Chemical
Phosphoserine,HMDB0000272,O-Phospho-L-serine,Chemical
Thymidine,HMDB0000273,"dT, 2'-Deoxythymidine",Chemical
D-Ribose,HMDB0000283,Ribose,Chemical
Uridine 5'-monophosphate,HMDB0000288,"UMP, 5'-Uridylic acid",Chemical
Uric acid,HMDB0000289,Urate,Chemical
Vanillylmandelic acid,HMDB0000291,VMA,Chemical
Xanthine,HMDB0000292,"3,7-Dihydropurine-2,6-dione",Chemical
Urea,HMDB0000294,Carbamide,Chemical
Uridine,HMDB0000296,Urd,Chemical
Uracil,HMDB0000300,Ura,Chemical
Urocanic acid,HMDB0000301,Urocanate,Chemical
Vitamin A,HMDB0000305,"Retinol, Retinal, Retinoic acid",Chemical
Tyramine,HMDB0000306,4-Hydroxyphenethylamine,Chemical
"3,4-Dihydroxyphenylglycol",HMDB0000318,"DHPG, DOPEG",Chemical
18-Hydroxycorticosterone,HMDB0000319,18-OHB,Chemical
2-Hydroxyadipic acid,HMDB0000321,"Alpha-hydroxyadipate, α-Hydroxyadipic acid",Chemical
(R)-3-Hydroxyisobutyric acid,HMDB0000336,(R)-3-HIB,Chemical
"(S)-3,4-Dihydroxybutyric acid",HMDB0000337,2-Deoxytetronic acid,Chemical
2-Methylbutyrylglycine,HMDB0000339,2-MBG,Chemical
2-Hydroxyestrone,HMDB0000343,2-OHE1,Chemical
3-Hydroxysebacic acid,HMDB0000350,3-OH-sebacate,Chemical
2-Methyl-3-hydroxybutyric acid,HMDB0000354,2M3HBA,Chemical
3-Hydroxymethylglutaric acid,HMDB0000355,3-HMGA,Chemical
3-Hydroxybutyric acid,HMDB0000357,"3-Hydroxybutanoic acid, Beta-hydroxybutyrate, BHB",Chemical
17a-Hydroxypregnenolone,HMDB0000363,17-OH-Pregnenolone,Chemical
